month,Numbers ('000s),Rates (%)
Jan-18,247,5.0
Feb-18,239,4.8
Mar-18,247,4.9
Apr-18,260,5.2
May-18,255,5.1
Jun-18,242,4.9
Jul-18,235,4.7
Aug-18,237,4.8
Sep-18,234,4.7
Oct-18,236,4.7
Nov-18,227,4.5
Dec-18,218,4.5
Jan-19,207,4.2
Feb-19,218,4.5
Mar-19,214,4.4
Apr-19,209,4.3
May-19,209,4.3
Jun-19,222,4.5
Jul-19,225,4.6
Aug-19,225,4.6
Sep-19,222,4.5
Oct-19,221,4.5
Nov-19,214,4.3
Dec-19,213,4.3
Jan-20,224,4.5
Feb-20,229,4.5
Mar-20,239,4.7
Apr-20,234,4.6
May-20,256,5.1
Jun-20,235,4.6
Jul-20,256,5.0
Aug-20,267,5.3
Sep-20,301,6.0
Oct-20,322,6.3
Nov-20,355,6.9
Dec-20,356,7.0
Jan-21,366,7.2
Feb-21,366,7.2
Mar-21,345,6.8
Apr-21,329,6.5
May-21,330,6.5
Jun-21,322,6.4
Jul-21,306,6.0
Aug-21,292,5.8
Sep-21,284,5.6